관리ID,작업ID,단계,공사/안전이 해야할 일,확인자,기록/증빙,출처URL
S-TEMP-FENCE-001-01,TEMP-FENCE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TEMP-FENCE-001-02,TEMP-FENCE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-FENCE-001-03,TEMP-FENCE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TEMP-OFFICE-001-01,TEMP-OFFICE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TEMP-OFFICE-001-02,TEMP-OFFICE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-OFFICE-001-03,TEMP-OFFICE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TEMP-ELEC-001-01,TEMP-ELEC-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TEMP-ELEC-001-02,TEMP-ELEC-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TEMP-ELEC-001-03,TEMP-ELEC-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TEMP-WATER-001-01,TEMP-WATER-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
