위험ID,작업ID,위험요소,사고유형,위험도,상황설명,예방핵심,출처URL
R-TEMP-FENCE-001-01,TEMP-FENCE-001,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-FENCE-001-02,TEMP-FENCE-001,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-FENCE-001-03,TEMP-FENCE-001,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-OFFICE-001-01,TEMP-OFFICE-001,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-OFFICE-001-02,TEMP-OFFICE-001,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-OFFICE-001-03,TEMP-OFFICE-001,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-ELEC-001-01,TEMP-ELEC-001,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-ELEC-001-02,TEMP-ELEC-001,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-ELEC-001-03,TEMP-ELEC-001,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-WATER-001-01,TEMP-WATER-001,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-WATER-001-02,TEMP-WATER-001,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-WATER-001-03,TEMP-WATER-001,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-SCAFF-001-01,TEMP-SCAFF-001,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-SCAFF-001-02,TEMP-SCAFF-001,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-SCAFF-001-03,TEMP-SCAFF-001,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-SCAFF-002-01,TEMP-SCAFF-002,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-SCAFF-002-02,TEMP-SCAFF-002,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-SCAFF-002-03,TEMP-SCAFF-002,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-DECK-001-01,TEMP-DECK-001,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-DECK-001-02,TEMP-DECK-001,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-DECK-001-03,TEMP-DECK-001,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-NET-001-01,TEMP-NET-001,고소작업 중 추락,추락,상,작업발판·난간·안전대 미확보 시 발생,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-NET-001-02,TEMP-NET-001,자재 낙하,낙하,상,하부 통제 및 낙하방지 미흡,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TEMP-NET-001-03,TEMP-NET-001,임시전기 감전,감전,중,누전차단기·접지 미확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-CLEAR-001-01,EARTH-CLEAR-001,굴착면 붕괴,붕괴,상,토질·강우·지하수 영향,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-CLEAR-001-02,EARTH-CLEAR-001,장비 협착·충돌,협착/충돌,상,굴삭기·덤프 작업반경 내 접근,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-CLEAR-001-03,EARTH-CLEAR-001,개구부·굴착부 추락,추락,중,단부 표시·난간 미설치,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-EXC-001-01,EARTH-EXC-001,굴착면 붕괴,붕괴,상,토질·강우·지하수 영향,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-EXC-001-02,EARTH-EXC-001,장비 협착·충돌,협착/충돌,상,굴삭기·덤프 작업반경 내 접근,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-EXC-001-03,EARTH-EXC-001,개구부·굴착부 추락,추락,중,단부 표시·난간 미설치,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-EXC-002-01,EARTH-EXC-002,굴착면 붕괴,붕괴,상,토질·강우·지하수 영향,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-EXC-002-02,EARTH-EXC-002,장비 협착·충돌,협착/충돌,상,굴삭기·덤프 작업반경 내 접근,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-EXC-002-03,EARTH-EXC-002,개구부·굴착부 추락,추락,중,단부 표시·난간 미설치,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-ROCK-001-01,EARTH-ROCK-001,굴착면 붕괴,붕괴,상,토질·강우·지하수 영향,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-EARTH-ROCK-001-02,EARTH-ROCK-001,장비 협착·충돌,협착/충돌,상,굴삭기·덤프 작업반경 내 접근,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
