장비ID,작업ID,구분,장비/자재/PPE,관리포인트
E-TEMP-FENCE-001-01,TEMP-FENCE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-TEMP-FENCE-001-02,TEMP-FENCE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-FENCE-001-03,TEMP-FENCE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TEMP-OFFICE-001-01,TEMP-OFFICE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-TEMP-OFFICE-001-02,TEMP-OFFICE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-OFFICE-001-03,TEMP-OFFICE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TEMP-ELEC-001-01,TEMP-ELEC-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-TEMP-ELEC-001-02,TEMP-ELEC-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-ELEC-001-03,TEMP-ELEC-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TEMP-WATER-001-01,TEMP-WATER-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-TEMP-WATER-001-02,TEMP-WATER-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-WATER-001-03,TEMP-WATER-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TEMP-SCAFF-001-01,TEMP-SCAFF-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-TEMP-SCAFF-001-02,TEMP-SCAFF-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-SCAFF-001-03,TEMP-SCAFF-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TEMP-SCAFF-002-01,TEMP-SCAFF-002,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-TEMP-SCAFF-002-02,TEMP-SCAFF-002,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-SCAFF-002-03,TEMP-SCAFF-002,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TEMP-DECK-001-01,TEMP-DECK-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-TEMP-DECK-001-02,TEMP-DECK-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-DECK-001-03,TEMP-DECK-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-TEMP-NET-001-01,TEMP-NET-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-TEMP-NET-001-02,TEMP-NET-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-TEMP-NET-001-03,TEMP-NET-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EARTH-CLEAR-001-01,EARTH-CLEAR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 신호봉/무전기",작업 전 착용상태 확인
E-EARTH-CLEAR-001-02,EARTH-CLEAR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EARTH-CLEAR-001-03,EARTH-CLEAR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EARTH-EXC-001-01,EARTH-EXC-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-EARTH-EXC-001-02,EARTH-EXC-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EARTH-EXC-001-03,EARTH-EXC-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EARTH-EXC-002-01,EARTH-EXC-002,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-EARTH-EXC-002-02,EARTH-EXC-002,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EARTH-EXC-002-03,EARTH-EXC-002,자재,승인자재 및 부속자재,반입검수·보관상태 확인
