체크ID,작업ID,구분,체크문항,판정,증빙
CHK-TEMP-FENCE-001-01,TEMP-FENCE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-FENCE-001-02,TEMP-FENCE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-FENCE-001-03,TEMP-FENCE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-FENCE-001-04,TEMP-FENCE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-FENCE-001-05,TEMP-FENCE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-OFFICE-001-01,TEMP-OFFICE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-OFFICE-001-02,TEMP-OFFICE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-OFFICE-001-03,TEMP-OFFICE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-OFFICE-001-04,TEMP-OFFICE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-OFFICE-001-05,TEMP-OFFICE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-ELEC-001-01,TEMP-ELEC-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-ELEC-001-02,TEMP-ELEC-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-ELEC-001-03,TEMP-ELEC-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-ELEC-001-04,TEMP-ELEC-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-ELEC-001-05,TEMP-ELEC-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-WATER-001-01,TEMP-WATER-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-WATER-001-02,TEMP-WATER-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-WATER-001-03,TEMP-WATER-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-WATER-001-04,TEMP-WATER-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-WATER-001-05,TEMP-WATER-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-001-01,TEMP-SCAFF-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TEMP-SCAFF-001-02,TEMP-SCAFF-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
