품질ID,작업ID,관리항목,관리기준/확인내용,검사방법,검사시점,품질이 해야할 일,출처URL
Q-TEMP-FENCE-001-01,TEMP-FENCE-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-FENCE-001-02,TEMP-FENCE-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-FENCE-001-03,TEMP-FENCE-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-OFFICE-001-01,TEMP-OFFICE-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-OFFICE-001-02,TEMP-OFFICE-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-OFFICE-001-03,TEMP-OFFICE-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-ELEC-001-01,TEMP-ELEC-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-ELEC-001-02,TEMP-ELEC-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-ELEC-001-03,TEMP-ELEC-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-WATER-001-01,TEMP-WATER-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-WATER-001-02,TEMP-WATER-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-WATER-001-03,TEMP-WATER-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-SCAFF-001-01,TEMP-SCAFF-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-SCAFF-001-02,TEMP-SCAFF-001,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-SCAFF-001-03,TEMP-SCAFF-001,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-SCAFF-002-01,TEMP-SCAFF-002,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-SCAFF-002-02,TEMP-SCAFF-002,시공 위치·치수,도면과 일치,줄자/레벨/육안,시공 중,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-SCAFF-002-03,TEMP-SCAFF-002,마감상태,파손·오염·누락 없음,육안,완료 후,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
Q-TEMP-DECK-001-01,TEMP-DECK-001,자재 승인상태,승인자재·성적서 확인,자재검수,반입 시,"검측 전 자체점검, 부적합 발견 시 재시공/보수 및 기록",https://www.kcsc.re.kr/standardCode/search?kcsc_cd=%ED%91%9C%EC%A4%80%EC%8B%9C%EB%B0%A9%EC%84%9C&searchType=0
